"IBAN/BBAN","Munt","BIC","Volgnr","Datum","Rentedatum","Bedrag","Saldo na trn","Tegenrekening IBAN/BBAN","Naam tegenpartij","Naam uiteindelijke partij","Naam initiërende partij","BIC tegenpartij","Code","Batch ID","Transactiereferentie","Machtigingskenmerk","Incassant ID","Betalingskenmerk","Omschrijving-1","Omschrijving-2","Omschrijving-3","Reden retour","Oorspr bedrag","Oorspr munt","Koers"
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001102","2024-02-02","2024-02-02","-14,83","+3.016,94","NL00DEMO0900000001","Demo Postcode Loterij","","","ABNANL2A","ei","","DEMO-REF-66581473","DEMO-LOT-001","NL00ZZZ900000000001","DEMO-5133","Demo Loterij trekking februari 2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001103","2024-02-02","2024-02-02","-5,91","+3.011,03","","Demo Cafe Centraal","","","","bc","","821559449515","","","","DEMOSTAD, 0000BW, NLD, 14:55",". Demo Pas Terminal: DEMO9431","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001104","2024-02-02","2024-02-02","-32,77","+2.978,26","NL00DEMO0600000001","Demo Muziekschool BV","","","RABONL2U","ei","","DEMO-REF-20106509","DEMO-MZ-001","NL00ZZZ600000000003","DEMO-3306","Lesgeld Demo Muziekschool februari 2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001105","2024-02-03","2024-02-03","-15,35","+2.962,91","NL00DEMO0900000005","Demo Netflix BV","","","INGBNL2A","ei","","DEMO-REF-82399599","DEMO-NF-001","NL00ZZZ900000000005","DEMO-1853","Demo Netflix abonnement maandelijks"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001106","2024-02-03","2024-02-03","-7,85","+2.955,06","NL00DEMO0900000005","Demo Videoland Plus","","","INGBNL2A","ei","","DEMO-REF-36757737","DEMO-VL-001","NL00ZZZ900000000005","DEMO-1333","Demo Videoland abonnement maandelijks"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001107","2024-02-03","2024-02-03","-8,89","+2.946,17","NL00DEMO0100000001","Demo Rabobank","","","","db","","","","","","Debetrente                         Periode 01-01-2024 t/m 31-01-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001108","2024-02-03","2024-02-03","-3,72","+2.942,45","NL00DEMO0100000001","Demo Rabobank","","","","db","","","","","","Kosten                             Demo DirectPakket                  Periode 01-02-2024 t/m 29-02-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001109","2024-02-03","2024-02-03","-1,40","+2.941,05","NL00DEMO0100000001","Demo Rabobank","","","","db","","","","","","Kosten                             (Extra) Demo Wereldpas             Periode 01-02-2024 t/m 29-02-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001110","2024-02-03","2024-02-03","-14,24","+2.926,81","","Demo Cafe Noord","","","","bc","","497363671483","","","","DEMOSTAD, 0000BW, NLD, 14:03",". Demo Pas Terminal: DEMO4073","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001111","2024-02-04","2024-02-04","-86,79","+2.840,02","","Demo Albert Heijn 4104","","","","bc","","827689342568","","","","DEMOSTAD, 0000HK, NLD, 21:02",". Demo Pas: 6xxxx0001 Terminal: DEMO6688. Appr Cd: DEMO9728","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001112","2024-02-04","2024-02-04","-5,72","+2.834,30","","Demo Bakkerij Centraal","","","","bc","","362667560128","","","","DEMOSTAD, 0000ED, NLD, 08:16",". Demo Pas Terminal: DEMO2330","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001113","2024-02-04","2024-02-04","-9,63","+2.824,67","","Demo Parking Demostad","","","","bc","","588129516415","","","","DEMOSTAD, 0000AB, NLD, 11:30",". Demo Pas Terminal: DEMO9502","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001114","2024-02-05","2024-02-05","-9,67","+2.815,00","NL00DEMO0900000005","Demo Spotify Premium","","","INGBNL2A","ei","","DEMO-REF-19209801","DEMO-SP-001","NL00ZZZ900000000005","DEMO-1659","Demo Spotify maandelijks lidmaatschap"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001115","2024-02-06","2024-02-06","-6,89","+2.808,11","NL00DEMO0500000001","Demo KPN Mobiel B.V.","","","INGBNL2A","ei","","DEMO-REF-85694715","DEMO-MOB-001","NL00ZZZ500000000001","DEMO-4571","Mobiel abonnement DEMO-219946 februari 2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001116","2024-02-06","2024-02-06","-45,80","+2.762,31","","Demo Albert Heijn 5631","","","","bc","","797340287725","","","","DEMOSTAD, 0000AB, NLD, 15:52",". Demo Pas: 6xxxx0001 Terminal: DEMO9031. Appr Cd: DEMO2729","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001117","2024-02-06","2024-02-06","-48,92","+2.713,39","NL00DEMO0300000002","Demo DemoShop Online BV","","","ABNANL2A","id","OO9DEMO6834555633","DEMO-29029654855","","","","","Demo bestelling DEMO-407618 demowinkel.nl"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001118","2024-02-07","2024-02-07","-54,63","+2.658,76","","Demo Lidl 128 Demostad","","","","bc","","626002054624","","","","DEMOSTAD, 0000HK, NLD, 16:06",". Demo Pas: 6xxxx0001 Terminal: DEMO1200. Appr Cd: DEMO5658","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001119","2024-02-07","2024-02-07","-9,74","+2.649,02","","Demo Aldi Demostad","","","","bc","","595554950233","","","","DEMOSTAD, 0000PQ, NLD, 21:26",". Demo Pas: 6xxxx0001 Terminal: DEMO4697. Appr Cd: DEMO9561","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001120","2024-02-07","2024-02-07","-39,30","+2.609,72","NL00DEMO0300000002","Demo Bol.com BV","","","ABNANL2A","id","OO9DEMO1773338452","DEMO-19341851754","","","","","Demo bestelling DEMO-693418 demowinkel.nl"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001121","2024-02-08","2024-02-08","-100,46","+2.509,26","","Demo Geldautomaat","","","","ba","","922894448206","","","","DEMOSTAD, 0000NH, NLD, 08-02-2024 08:03",". Demo Shell Station Terminal: DEMO32269779 Appr Cd: DEMO6039","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001122","2024-02-08","2024-02-08","-41,31","+2.467,95","","Demo Restaurant Centraal","","","","bc","","279777594736","","","","DEMOSTAD, 0000BW, NLD, 19:42",". Demo Pas Terminal: DEMO2713","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001123","2024-02-08","2024-02-08","-8,64","+2.459,31","","Demo Burger Demo","","","","bc","","345213466367","","","","DEMOSTAD, 0000SP, NLD, 11:35",". Demo Pas Terminal: DEMO7684","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001124","2024-02-09","2024-02-09","-98,94","+2.360,37","","Demo Albert Heijn 0921","","","","bc","","817111249233","","","","DEMOSTAD, 0000HK, NLD, 11:27",". Demo Pas: 6xxxx0001 Terminal: DEMO3885. Appr Cd: DEMO9548","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001125","2024-02-09","2024-02-09","-28,42","+2.331,95","","Demo Poiesz Supermarkt","","","","bc","","226380009561","","","","DEMOSTAD, 0000BN, NLD, 18:37",". Demo Pas Terminal: DEMO4241","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001126","2024-02-09","2024-02-09","-20,21","+2.311,74","","Demo Apotheek Centrum","","","","bc","","599836311191","","","","DEMOSTAD, 0000BD, NLD, 14:35",". Demo Pas Terminal: DEMO9903","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001127","2024-02-10","2024-02-10","-35,55","+2.276,19","","Demo Albert Heijn 0921","","","","bc","","369946052512","","","","DEMOSTAD, 0000JW, NLD, 15:52",". Demo Pas: 6xxxx0001 Terminal: DEMO5397. Appr Cd: DEMO6280","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001128","2024-02-10","2024-02-10","-125,71","+2.150,48","","Demo Jumbo Online","","","","bc","","877449847333","","","","Demostad, 0000CE, NLD, 21:11",". Demo Pas Terminal: DEMO50569669","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001129","2024-02-10","2024-02-10","-50,24","+2.100,24","NL00DEMO0300000002","Demo Thuisbezorgd BV","","","ABNANL2A","ei","","DEMO-REF-65692629","DEMO-TB-001","NL00ZZZ300000099001","DEMO-6568","Demo bezorgbestelling DEMO-46208"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001130","2024-02-10","2024-02-10","-35,68","+2.064,56","","Demo Apotheek Centrum","","","","bc","","523362647197","","","","DEMOSTAD, 0000BD, NLD, 12:44",". Demo Pas Terminal: DEMO4912","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001131","2024-02-10","2024-02-10","+10,51","+2.075,07","NL00DEMO0900000002","Demo Tikkie Service","","","ABNANL2A","cb","OO9DEMO8298348088","","","","","","Tikkie ID DEMO509486794, Feestje demo, Van M. Voorbeeldig"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001132","2024-02-11","2024-02-11","-100,33","+1.974,74","","Demo Geldautomaat","","","","ba","","433670331254","","","","DEMOSTAD, 0000NH, NLD, 11-02-2024 11:28",". Demo Shell Station Terminal: DEMO26690465 Appr Cd: DEMO8679","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001133","2024-02-11","2024-02-11","-10,91","+1.963,83","","Demo Cafe Noord","","","","bc","","392932052116","","","","DEMOSTAD, 0000BW, NLD, 15:48",". Demo Pas Terminal: DEMO1845","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001134","2024-02-11","2024-02-11","-31,35","+1.932,48","","Demo Kinderkleding BV","","","","bc","","464435556959","","","","DEMOSTAD, 0000HH, NLD, 16:41",". Demo Pas Terminal: DEMO2315","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001135","2024-02-12","2024-02-12","-92,73","+1.839,75","","Demo Albert Heijn 4104","","","","bc","","131509583569","","","","DEMOSTAD, 0000JW, NLD, 16:15",". Demo Pas: 6xxxx0001 Terminal: DEMO8613. Appr Cd: DEMO7209","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001136","2024-02-12","2024-02-12","-41,34","+1.798,41","","Demo Aldi Demostad","","","","bc","","781047077731","","","","DEMOSTAD, 0000PQ, NLD, 13:55",". Demo Pas: 6xxxx0001 Terminal: DEMO8025. Appr Cd: DEMO6003","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001137","2024-02-12","2024-02-12","-93,49","+1.704,92","","Demo Geldautomaat","","","","ba","","187779505945","","","","DEMOSTAD, 0000NH, NLD, 12-02-2024 11:32",". Demo Shell Station Terminal: DEMO82475098 Appr Cd: DEMO9090","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001138","2024-02-12","2024-02-12","+236,45","+1.941,37","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","cb","OO9DEMO5464285982","","","","","","Weekendboodschappen"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001139","2024-02-13","2024-02-13","-167,11","+1.774,26","","Demo Jumbo Online","","","","bc","","160019139722","","","","Demostad, 0000CE, NLD, 21:17",". Demo Pas Terminal: DEMO16109013","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001140","2024-02-13","2024-02-13","-25,16","+1.749,10","","Demo Drogisterij 007","","","","bc","","650298037487","","","","DEMOSTAD, 0000BD, NLD, 12:31",". Demo Pas Terminal: DEMO1606","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001141","2024-02-13","2024-02-13","-100,00","+1.649,10","","Demo Geldautomaat","","","","ba","","482016878181","","","","DEMOSTAD, 0000AB, NLD, 13-02-2024 11:04",". Demo Geldautomaat Terminal: DEMO69287967","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001142","2024-02-13","2024-02-13","+5,34","+1.654,44","NL00DEMO0900000002","Demo Tikkie Service","","","ABNANL2A","cb","OO9DEMO2178884276","","","","","","Tikkie ID DEMO991246046, Uitje demo, Van D. Demopersoon"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001143","2024-02-14","2024-02-14","+245,04","+1.899,48","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","cb","OO9DEMO7784217828","","","","","","Boodschappen"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001144","2024-02-15","2024-02-15","-9,91","+1.889,57","","Demo Cafe Noord","","","","bc","","130586292150","","","","DEMOSTAD, 0000BW, NLD, 15:56",". Demo Pas Terminal: DEMO8941","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001145","2024-02-15","2024-02-15","-83,14","+1.806,43","NL00DEMO0300000002","Demo Bol.com BV","","","ABNANL2A","id","OO9DEMO3934040683","DEMO-29684510001","","","","","Demo bestelling DEMO-749813 demowinkel.nl"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001146","2024-02-16","2024-02-16","+38,52","+1.844,95","NL00DEMO0900000002","Demo Tikkie Service","","","ABNANL2A","cb","OO9DEMO8495457335","","","","","","Tikkie ID DEMO836371599, Etentje demo, Van Demo Vriend"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001147","2024-02-18","2024-02-18","+499,26","+2.344,21","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","cb","OO9DEMO7296096954","","","","","","Loon februari 2024"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001148","2024-02-19","2024-02-19","+54,80","+2.399,01","NL00DEMO0900000002","Demo Tikkie Service","","","ABNANL2A","cb","OO9DEMO2513206988","","","","","","Tikkie ID DEMO407298630, Boodschappen, Van Demo Collega"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001149","2024-02-19","2024-02-19","-43,79","+2.355,22","NL00DEMO0600000001","Demo Schoolvereniging","","","RABONL2U","ei","","DEMO-REF-55461591","DEMO-SV-001","NL00ZZZ600000000002","DEMO-2886","Activiteitenbijdrage"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001150","2024-02-20","2024-02-20","-58,42","+2.296,80","","Demo Albert Heijn 5631","","","","bc","","406404422214","","","","DEMOSTAD, 0000AB, NLD, 16:13",". Demo Pas: 6xxxx0001 Terminal: DEMO6813. Appr Cd: DEMO5232","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001151","2024-02-20","2024-02-20","-5,19","+2.291,61","","Demo Bakkerij Centraal","","","","bc","","595675808653","","","","DEMOSTAD, 0000ED, NLD, 07:10",". Demo Pas Terminal: DEMO1043","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001152","2024-02-20","2024-02-20","-27,82","+2.263,79","","Demo McDonald's Demostad","","","","bc","","420905367754","","","","DEMOSTAD, 0000SP, NLD, 18:07",". Demo Pas Terminal: DEMO3522","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001153","2024-02-21","2024-02-21","-11,16","+2.252,63","","Demo Parking Demostad","","","","bc","","996079577156","","","","DEMOSTAD, 0000AB, NLD, 11:37",". Demo Pas Terminal: DEMO8141","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001154","2024-02-21","2024-02-21","-40,10","+2.212,53","","Demo Eetcafe Demo","","","","bc","","936717894940","","","","DEMOSTAD, 0000BW, NLD, 19:42",". Demo Pas Terminal: DEMO7561","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001155","2024-02-22","2024-02-22","-97,79","+2.114,74","","Demo Albert Heijn 5631","","","","bc","","891310598800","","","","DEMOSTAD, 0000HK, NLD, 09:33",". Demo Pas: 6xxxx0001 Terminal: DEMO4130. Appr Cd: DEMO2402","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001156","2024-02-22","2024-02-22","-29,06","+2.085,68","","Demo Drogisterij 007","","","","bc","","209265283176","","","","DEMOSTAD, 0000BD, NLD, 15:55",". Demo Pas Terminal: DEMO2644","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001157","2024-02-22","2024-02-22","-11,16","+2.074,52","","Demo Bouwmarkt Demostad","","","","bc","","933646465420","","","","DEMOSTAD, 0000DR, NLD, 13:14",". Demo Pas Terminal: DEMO2480","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001158","2024-02-23","2024-02-23","-49,46","+2.025,06","","Demo Albert Heijn 2873","","","","bc","","120585489939","","","","DEMOSTAD, 0000HK, NLD, 16:41",". Demo Pas: 6xxxx0001 Terminal: DEMO9041. Appr Cd: DEMO8342","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001159","2024-02-23","2024-02-23","-30,67","+1.994,39","","Demo Lidl 128 Demostad","","","","bc","","538367312099","","","","DEMOSTAD, 0000HK, NLD, 11:03",". Demo Pas: 6xxxx0001 Terminal: DEMO5136. Appr Cd: DEMO8827","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001160","2024-02-23","2024-02-23","-16,70","+1.977,69","","Demo Pizza Corner","","","","bc","","619606194160","","","","DEMOSTAD, 0000SP, NLD, 17:53",". Demo Pas Terminal: DEMO8905","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001161","2024-02-23","2024-02-23","-312,94","+1.664,75","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","tb","OO9DEMO9218363978","","","","","","Demo overboeking"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001162","2024-02-24","2024-02-24","-17,49","+1.647,26","","Demo Albert Heijn 2873","","","","bc","","707623027059","","","","DEMOSTAD, 0000JW, NLD, 20:15",". Demo Pas: 6xxxx0001 Terminal: DEMO6016. Appr Cd: DEMO7046","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001163","2024-02-24","2024-02-24","-13,19","+1.634,07","","Demo Bakkerij Centraal","","","","bc","","414526795461","","","","DEMOSTAD, 0000ED, NLD, 10:18",". Demo Pas Terminal: DEMO1534","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001164","2024-02-24","2024-02-24","-87,89","+1.546,18","","Demo Geldautomaat","","","","ba","","198895336689","","","","DEMOSTAD, 0000NH, NLD, 24-02-2024 13:47",". Demo Shell Station Terminal: DEMO53261270 Appr Cd: DEMO5102","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001165","2024-02-24","2024-02-24","-27,41","+1.518,77","","Demo NS Reizen","","","","bc","","842018995729","","","","OV Demo NS station 2024","Demo NS chipkaart DEMO-703139","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001166","2024-02-25","2024-02-25","-62,15","+1.456,62","","Demo Albert Heijn 0921","","","","bc","","436171026274","","","","DEMOSTAD, 0000HK, NLD, 17:21",". Demo Pas: 6xxxx0001 Terminal: DEMO6764. Appr Cd: DEMO8434","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001167","2024-02-25","2024-02-25","-33,54","+1.423,08","","Demo Lidl 128 Demostad","","","","bc","","989699029003","","","","DEMOSTAD, 0000HK, NLD, 18:40",". Demo Pas: 6xxxx0001 Terminal: DEMO1878. Appr Cd: DEMO3485","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001168","2024-02-25","2024-02-25","-13,46","+1.409,62","","Demo Bakkerij Centraal","","","","bc","","851924991536","","","","DEMOSTAD, 0000ED, NLD, 12:55",". Demo Pas Terminal: DEMO8438","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001169","2024-02-25","2024-02-25","-100,00","+1.309,62","","Demo Geldautomaat","","","","ba","","377842780911","","","","DEMOSTAD, 0000AB, NLD, 25-02-2024 13:40",". Demo Geldautomaat Terminal: DEMO66949781","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001170","2024-02-25","2024-02-25","+230,41","+1.540,03","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","cb","OO9DEMO9201789018","","","","","","Boodschappen"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001171","2024-02-26","2024-02-26","-10,61","+1.529,42","","Demo Burger Demo","","","","bc","","761089389845","","","","DEMOSTAD, 0000SP, NLD, 13:24",". Demo Pas Terminal: DEMO4122","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001172","2024-02-26","2024-02-26","-17,20","+1.512,22","","Demo Drogisterij 007","","","","bc","","182267355023","","","","DEMOSTAD, 0000BD, NLD, 17:00",". Demo Pas Terminal: DEMO3361","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001173","2024-02-26","2024-02-26","-31,51","+1.480,71","","Demo Sportwinkel","","","","bc","","984329078416","","","","DEMOSTAD, 0000AB, NLD, 14:42",". Demo Pas Terminal: DEMO1153","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001174","2024-02-27","2024-02-27","-33,64","+1.447,07","","Demo Albert Heijn 4104","","","","bc","","941602610731","","","","DEMOSTAD, 0000HK, NLD, 12:20",". Demo Pas: 6xxxx0001 Terminal: DEMO2958. Appr Cd: DEMO9779","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001175","2024-02-27","2024-02-27","-11,56","+1.435,51","","Demo Apotheek Centrum","","","","bc","","622889527089","","","","DEMOSTAD, 0000BD, NLD, 15:02",". Demo Pas Terminal: DEMO6213","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001176","2024-02-27","2024-02-27","+124,95","+1.560,46","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","cb","OO9DEMO1754368373","","","","","","Huur deel"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001177","2024-02-28","2024-02-28","-65,25","+1.495,21","","Demo Kinderkleding BV","","","","bc","","696452343376","","","","DEMOSTAD, 0000HH, NLD, 16:20",". Demo Pas Terminal: DEMO8994","","","","",""
