"IBAN/BBAN","Munt","BIC","Volgnr","Datum","Rentedatum","Bedrag","Saldo na trn","Tegenrekening IBAN/BBAN","Naam tegenpartij","Naam uiteindelijke partij","Naam initiërende partij","BIC tegenpartij","Code","Batch ID","Transactiereferentie","Machtigingskenmerk","Incassant ID","Betalingskenmerk","Omschrijving-1","Omschrijving-2","Omschrijving-3","Reden retour","Oorspr bedrag","Oorspr munt","Koers"
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001034","2024-01-09","2024-01-09","-17,99","+2.087,83","","Demo Bakkerij Centraal","","","","bc","","547390899554","","","","DEMOSTAD, 0000ED, NLD, 07:05",". Demo Pas Terminal: DEMO4872","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001035","2024-01-09","2024-01-09","-10,67","+2.077,16","","Demo Cafe De Hoek","","","","bc","","639041627377","","","","DEMOSTAD, 0000BW, NLD, 13:13",". Demo Pas Terminal: DEMO5325","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001036","2024-01-09","2024-01-09","+53,20","+2.130,36","NL00DEMO0900000002","Demo Tikkie Service","","","ABNANL2A","cb","OO9DEMO1198486416","","","","","","Tikkie ID DEMO258220114, Etentje demo, Van Demo Vriend"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001037","2024-01-10","2024-01-10","-25,59","+2.104,77","","Demo Poiesz Supermarkt","","","","bc","","306823277527","","","","DEMOSTAD, 0000BN, NLD, 19:50",". Demo Pas Terminal: DEMO8973","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001038","2024-01-10","2024-01-10","-77,02","+2.027,75","","Demo Restaurant De Hoek","","","","bc","","875427216652","","","","DEMOSTAD, 0000BW, NLD, 19:18",". Demo Pas Terminal: DEMO3584","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001039","2024-01-10","2024-01-10","-5,89","+2.021,86","","Demo Cafe Centraal","","","","bc","","404209733660","","","","DEMOSTAD, 0000BW, NLD, 09:40",". Demo Pas Terminal: DEMO7939","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001040","2024-01-10","2024-01-10","-60,00","+1.961,86","","Demo Geldautomaat","","","","ba","","612485158138","","","","DEMOSTAD, 0000AB, NLD, 10-01-2024 18:38",". Demo Geldautomaat Terminal: DEMO97873101","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001041","2024-01-11","2024-01-11","-47,25","+1.914,61","","Demo Albert Heijn 0921","","","","bc","","926939990836","","","","DEMOSTAD, 0000HK, NLD, 13:35",". Demo Pas: 6xxxx0001 Terminal: DEMO1188. Appr Cd: DEMO2876","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001042","2024-01-11","2024-01-11","-33,18","+1.881,43","","Demo Lidl 128 Demostad","","","","bc","","623060957599","","","","DEMOSTAD, 0000HK, NLD, 17:08",". Demo Pas: 6xxxx0001 Terminal: DEMO8744. Appr Cd: DEMO4981","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001043","2024-01-11","2024-01-11","-14,84","+1.866,59","","Demo McDonald's Demostad","","","","bc","","140997998139","","","","DEMOSTAD, 0000SP, NLD, 12:04",". Demo Pas Terminal: DEMO3442","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001044","2024-01-11","2024-01-11","-8,99","+1.857,60","","Demo Bouwmarkt Demostad","","","","bc","","988738578038","","","","DEMOSTAD, 0000DR, NLD, 15:00",". Demo Pas Terminal: DEMO9518","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001045","2024-01-11","2024-01-11","+289,07","+2.146,67","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","cb","OO9DEMO2995226582","","","","","","Kinderbijdrage"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001046","2024-01-12","2024-01-12","-18,40","+2.128,27","NL00DEMO0300000002","Demo MediaDemo NV","","","ABNANL2A","id","OO9DEMO7971399399","DEMO-52520377395","","","","","Demo bestelling DEMO-446239 demowinkel.nl"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001047","2024-01-13","2024-01-13","-35,22","+2.093,05","","Demo Albert Heijn 5631","","","","bc","","390853813771","","","","DEMOSTAD, 0000AB, NLD, 13:27",". Demo Pas: 6xxxx0001 Terminal: DEMO3591. Appr Cd: DEMO8433","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001048","2024-01-13","2024-01-13","-30,17","+2.062,88","","Demo NS Reizen","","","","bc","","888855466331","","","","OV Demo NS station 2024","Demo NS chipkaart DEMO-314181","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001049","2024-01-13","2024-01-13","-60,00","+2.002,88","","Demo Geldautomaat","","","","ba","","621886518414","","","","DEMOSTAD, 0000AB, NLD, 13-01-2024 16:43",". Demo Geldautomaat Terminal: DEMO38682516","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001050","2024-01-13","2024-01-13","+64,02","+2.066,90","NL00DEMO0900000002","Demo Tikkie Service","","","ABNANL2A","cb","OO9DEMO7250964836","","","","","","Tikkie ID DEMO756350429, Etentje demo, Van Demo Vriend"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001051","2024-01-13","2024-01-13","+184,93","+2.251,83","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","cb","OO9DEMO2960488639","","","","","","Boodschappen"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001052","2024-01-14","2024-01-14","-10,03","+2.241,80","","Demo Bakkerij Centraal","","","","bc","","168300472052","","","","DEMOSTAD, 0000ED, NLD, 08:55",". Demo Pas Terminal: DEMO7570","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001053","2024-01-14","2024-01-14","-13,20","+2.228,60","","Demo Poiesz Supermarkt","","","","bc","","920600564299","","","","DEMOSTAD, 0000BN, NLD, 08:37",". Demo Pas Terminal: DEMO9883","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001054","2024-01-14","2024-01-14","-38,27","+2.190,33","","Demo Restaurant Noord","","","","bc","","829851334750","","","","DEMOSTAD, 0000BW, NLD, 22:52",". Demo Pas Terminal: DEMO5905","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001055","2024-01-14","2024-01-14","-29,36","+2.160,97","","Demo Apotheek Centrum","","","","bc","","980366101353","","","","DEMOSTAD, 0000BD, NLD, 12:55",". Demo Pas Terminal: DEMO3662","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001056","2024-01-14","2024-01-14","-124,17","+2.036,80","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","tb","OO9DEMO7533932947","","","","","","Demo overboeking"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001057","2024-01-14","2024-01-14","-19,83","+2.016,97","NL00DEMO0600000001","Demo Schoolvereniging","","","RABONL2U","ei","","DEMO-REF-20814950","DEMO-SV-001","NL00ZZZ600000000002","DEMO-3267","Schoolreis demo"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001058","2024-01-15","2024-01-15","-107,13","+1.909,84","","Demo Albert Heijn 2873","","","","bc","","317363871943","","","","DEMOSTAD, 0000HK, NLD, 10:55",". Demo Pas: 6xxxx0001 Terminal: DEMO5889. Appr Cd: DEMO9317","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001059","2024-01-15","2024-01-15","-5,05","+1.904,79","","Demo Bakkerij Centraal","","","","bc","","962972824015","","","","DEMOSTAD, 0000ED, NLD, 07:24",". Demo Pas Terminal: DEMO5345","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001060","2024-01-15","2024-01-15","-44,39","+1.860,40","","Demo Kledingwinkel","","","","bc","","736422102747","","","","DEMOSTAD, 0000HH, NLD, 11:56",". Demo Pas Terminal: DEMO5279","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001061","2024-01-17","2024-01-17","+473,47","+2.333,87","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","cb","OO9DEMO3342331444","","","","","","Loon januari 2024"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001062","2024-01-17","2024-01-17","-24,94","+2.308,93","","Demo Restaurant De Hoek","","","","bc","","708779044123","","","","DEMOSTAD, 0000BW, NLD, 19:07",". Demo Pas Terminal: DEMO2753","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001063","2024-01-17","2024-01-17","-70,85","+2.238,08","NL00DEMO0300000002","Demo MediaDemo NV","","","ABNANL2A","id","OO9DEMO6695912196","DEMO-51649192998","","","","","Demo bestelling DEMO-528231 demowinkel.nl"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001064","2024-01-18","2024-01-18","-23,59","+2.214,49","","Demo Albert Heijn 2873","","","","bc","","454759765684","","","","DEMOSTAD, 0000HK, NLD, 21:59",". Demo Pas: 6xxxx0001 Terminal: DEMO9689. Appr Cd: DEMO1009","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001065","2024-01-18","2024-01-18","-169,78","+2.044,71","","Demo Jumbo Online","","","","bc","","177340295766","","","","Demostad, 0000CE, NLD, 21:37",". Demo Pas Terminal: DEMO39557077","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001066","2024-01-18","2024-01-18","-31,47","+2.013,24","","Demo Apotheek Centrum","","","","bc","","960420184902","","","","DEMOSTAD, 0000BD, NLD, 15:01",". Demo Pas Terminal: DEMO3938","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001067","2024-01-19","2024-01-19","-7,17","+2.006,07","","Demo Aldi Demostad","","","","bc","","900593162298","","","","DEMOSTAD, 0000PQ, NLD, 19:41",". Demo Pas: 6xxxx0001 Terminal: DEMO2612. Appr Cd: DEMO1993","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001068","2024-01-19","2024-01-19","-87,73","+1.918,34","","Demo Geldautomaat","","","","ba","","726594012825","","","","DEMOSTAD, 0000NH, NLD, 19-01-2024 17:55",". Demo Shell Station Terminal: DEMO41568532 Appr Cd: DEMO7615","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001069","2024-01-19","2024-01-19","-12,80","+1.905,54","","Demo NS Reizen","","","","bc","","243433808038","","","","OV Demo NS station 2024","Demo NS chipkaart DEMO-378517","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001070","2024-01-19","2024-01-19","-76,53","+1.829,01","NL00DEMO0300000002","Demo DemoShop Online BV","","","ABNANL2A","id","OO9DEMO7739255769","DEMO-84758523605","","","","","Demo bestelling DEMO-540869 demowinkel.nl"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001071","2024-01-20","2024-01-20","-190,56","+1.638,45","","Demo Jumbo Online","","","","bc","","178728590908","","","","Demostad, 0000CE, NLD, 21:03",". Demo Pas Terminal: DEMO40728046","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001072","2024-01-20","2024-01-20","+58,05","+1.696,50","NL00DEMO0900000002","Demo Tikkie Service","","","ABNANL2A","cb","OO9DEMO6944142262","","","","","","Tikkie ID DEMO718121922, Boodschappen, Van Demo Collega"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001073","2024-01-21","2024-01-21","-57,84","+1.638,66","","Demo Albert Heijn 4104","","","","bc","","190532572167","","","","DEMOSTAD, 0000JW, NLD, 21:19",". Demo Pas: 6xxxx0001 Terminal: DEMO4923. Appr Cd: DEMO1949","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001074","2024-01-21","2024-01-21","-22,81","+1.615,85","","Demo NS Reizen","","","","bc","","445561148277","","","","OV Demo NS station 2024","Demo NS chipkaart DEMO-414569","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001075","2024-01-22","2024-01-22","-82,65","+1.533,20","","Demo Albert Heijn 4104","","","","bc","","705362105548","","","","DEMOSTAD, 0000HK, NLD, 21:08",". Demo Pas: 6xxxx0001 Terminal: DEMO3103. Appr Cd: DEMO8787","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001076","2024-01-22","2024-01-22","-68,54","+1.464,66","","Demo Geldautomaat","","","","ba","","823355063011","","","","DEMOSTAD, 0000NH, NLD, 22-01-2024 16:02",". Demo Shell Station Terminal: DEMO93131979 Appr Cd: DEMO2343","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001077","2024-01-23","2024-01-23","-24,84","+1.439,82","","Demo Albert Heijn 0921","","","","bc","","815849444665","","","","DEMOSTAD, 0000AB, NLD, 17:48",". Demo Pas: 6xxxx0001 Terminal: DEMO4295. Appr Cd: DEMO6107","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001078","2024-01-24","2024-01-24","-51,22","+1.388,60","","Demo Lidl 128 Demostad","","","","bc","","565378164447","","","","DEMOSTAD, 0000HK, NLD, 12:06",". Demo Pas: 6xxxx0001 Terminal: DEMO2588. Appr Cd: DEMO8062","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001079","2024-01-24","2024-01-24","-9,01","+1.379,59","","Demo Drogisterij 007","","","","bc","","975402538007","","","","DEMOSTAD, 0000BD, NLD, 17:22",". Demo Pas Terminal: DEMO6000","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001080","2024-01-24","2024-01-24","-72,53","+1.307,06","","Demo Schoenenwinkel","","","","bc","","900348631876","","","","DEMOSTAD, 0000HH, NLD, 10:06",". Demo Pas Terminal: DEMO8119","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001081","2024-01-25","2024-01-25","+28,38","+1.335,44","NL00DEMO0900000002","Demo Tikkie Service","","","ABNANL2A","cb","OO9DEMO4803044105","","","","","","Tikkie ID DEMO258453521, Etentje demo, Van Demo Vriend"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001082","2024-01-26","2024-01-26","-26,53","+1.308,91","","Demo Drogisterij 007","","","","bc","","462488651216","","","","DEMOSTAD, 0000BD, NLD, 13:01",". Demo Pas Terminal: DEMO4164","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001083","2024-01-28","2024-01-28","-18,57","+1.290,34","","Demo Aldi Demostad","","","","bc","","591929601508","","","","DEMOSTAD, 0000PQ, NLD, 10:15",". Demo Pas: 6xxxx0001 Terminal: DEMO4139. Appr Cd: DEMO4116","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001084","2024-01-28","2024-01-28","-10,52","+1.279,82","","Demo Drogisterij 007","","","","bc","","805882797681","","","","DEMOSTAD, 0000BD, NLD, 11:49",". Demo Pas Terminal: DEMO5573","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001085","2024-01-29","2024-01-29","-60,90","+1.218,92","","Demo Schoenenwinkel","","","","bc","","735223535913","","","","DEMOSTAD, 0000HH, NLD, 18:07",". Demo Pas Terminal: DEMO7311","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001086","2024-01-30","2024-01-30","-238,02","+980,90","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","tb","OO9DEMO2889238423","","","","","","Demo overboeking"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001087","2024-01-31","2024-01-31","+248,37","+1.229,27","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","cb","OO9DEMO8995059760","","","","","","Weekendboodschappen"," ","","","",""
